
Mo,Zo,Age,Mass,logL,logTe
 25.00,0.020, 6.437674e+06, 23.4423, 5.356, 3.694
 25.00,0.020, 6.465542e+06, 23.0683, 5.339, 3.654
 25.00,0.020, 6.491316e+06, 22.7520, 5.341, 3.641
 25.00,0.020, 6.517829e+06, 22.4288, 5.341, 3.639
 25.00,0.020, 6.544241e+06, 22.1074, 5.342, 3.637
 25.00,0.020, 6.570064e+06, 21.7924, 5.343, 3.636
 25.00,0.020, 6.597189e+06, 21.4597, 5.344, 3.636
 25.00,0.020, 6.625758e+06, 21.1066, 5.346, 3.636
 25.00,0.020, 6.651560e+06, 20.7850, 5.347, 3.637
 25.00,0.020, 6.681944e+06, 20.4031, 5.348, 3.637
 25.00,0.020, 6.710468e+06, 20.0419, 5.350, 3.637
 25.00,0.020, 6.720142e+06, 19.9190, 5.350, 3.637
 25.00,0.020, 6.773095e+06, 19.2417, 5.351, 3.637
 25.00,0.020, 6.806596e+06, 18.8097, 5.352, 3.638
 25.00,0.020, 6.844419e+06, 18.3192, 5.352, 3.639
 25.00,0.020, 6.881162e+06, 17.8442, 5.352, 3.638
 25.00,0.020, 6.920066e+06, 17.3448, 5.349, 3.635
 25.00,0.020, 6.963292e+06, 16.8085, 5.344, 3.632
 25.00,0.020, 7.003708e+06, 16.3193, 5.343, 3.629
 25.00,0.020, 7.021592e+06, 16.1036, 5.344, 3.628
 25.00,0.020, 7.039494e+06, 15.8851, 5.349, 3.626
 25.00,0.020, 7.049712e+06, 15.7565, 5.359, 3.623
 25.00,0.020, 7.054308e+06, 15.6829, 5.424, 3.627
 25.00,0.020, 7.058164e+06, 15.6039, 5.457, 3.630
 25.00,0.020, 7.058920e+06, 15.5850, 5.470, 3.632
 25.00,0.020, 7.059053e+06, 15.5815, 5.472, 3.632
 25.00,0.020, 7.059064e+06, 15.5812, 5.472, 3.632
 25.00,0.020, 7.059072e+06, 15.5810, 5.470, 3.632
 25.00,0.020, 7.059082e+06, 15.5807, 5.469, 3.632
 25.00,0.020, 7.059096e+06, 15.5804, 5.469, 3.633
 25.00,0.020, 6.437294e+06, 23.2968, 5.354, 3.693
 25.00,0.020, 6.464840e+06, 22.5825, 5.338, 3.644
 25.00,0.020, 6.492696e+06, 21.9151, 5.337, 3.640
 25.00,0.020, 6.518632e+06, 21.2982, 5.337, 3.639
 25.00,0.020, 6.545500e+06, 20.6591, 5.337, 3.639
 25.00,0.020, 6.574094e+06, 19.9751, 5.338, 3.641
 25.00,0.020, 6.609249e+06, 19.1150, 5.340, 3.702
 25.00,0.020, 6.629834e+06, 18.7315, 5.346, 3.841
 25.00,0.020, 6.657454e+06, 18.2593, 5.346, 3.843
 25.00,0.020, 6.684100e+06, 17.8023, 5.347, 3.847
 25.00,0.020, 6.714612e+06, 17.2818, 5.347, 3.848
 25.00,0.020, 6.747414e+06, 16.7247, 5.347, 3.852
 25.00,0.020, 6.786610e+06, 16.0684, 5.346, 3.853
 25.00,0.020, 6.815183e+06, 15.5863, 5.345, 3.843
 25.00,0.020, 6.849575e+06, 15.0036, 5.343, 3.847
 25.00,0.020, 6.886101e+06, 14.3962, 5.340, 3.848
 25.00,0.020, 6.925612e+06, 13.7481, 5.338, 3.848
 25.00,0.020, 6.968828e+06, 13.0458, 5.336, 3.848
 25.00,0.020, 7.009974e+06, 12.3494, 5.337, 3.837
 25.00,0.020, 7.027148e+06, 12.0541, 5.340, 3.837
